symbol,date,value
tun.dt.dod.dstc.xp.zs,6/15/1976 12:00:00 AM,6.99648
tun.dt.dod.dstc.xp.zs,6/15/1977 12:00:00 AM,14.97290
tun.dt.dod.dstc.xp.zs,6/15/1978 12:00:00 AM,16.81135
